year,d0,d1,d2,d3,n0,n1,n2,n3,p1,p2,p3,c1,c2,c3
0,7,34,2,45,438,438,438,438,0.922374429,0.99543379,0.897260274,0.077625571,0.00456621,0.102739726
1,10,15,1,20,350,397,429,386,0.962216625,0.997668998,0.948186528,0.11247599,0.006886569,0.149229896
2,9,15,2,20,304,372,418,356,0.959677419,0.995215311,0.943820225,0.148263248,0.011638307,0.197025969
3,8,17,4,12,258,348,407,327,0.951149425,0.99017199,0.963302752,0.189871078,0.021351936,0.226492906
4,5,24,2,9,217,323,395,307,0.925696594,0.994936709,0.970684039,0.250066416,0.026307116,0.24916901
5,8,17,1,11,177,294,388,293,0.942176871,0.99742268,0.962457338,0.293429923,0.028816634,0.277357204
6,7,8,2,6,140,269,379,274,0.970260223,0.994722955,0.97810219,0.314443159,0.033941612,0.293181499
7,7,0,2,4,117,254,370,261,1,0.994594595,0.98467433,0.314443159,0.039163549,0.304013966
8,8,4,0,5,104,247,361,250,0.983805668,1,0.98,0.325545294,0.039163549,0.317933687
9,6,0,1,2,87,235,353,237,1,0.997167139,0.991561181,0.325545294,0.041885465,0.323689521
10,5,2,0,4,78,229,346,229,0.991266376,1,0.982532751,0.331435728,0.041885465,0.335502804
11,0,2,1,6,67,222,341,220,0.990990991,0.997067449,0.972727273,0.33745883,0.044695185,0.353625455
12,5,1,3,0,58,220,340,214,0.995454545,0.991176471,1,0.340470381,0.053124346,0.353625455
13,1,0,1,3,49,214,332,209,1,0.996987952,0.985645933,0.340470381,0.055976381,0.362903558
14,2,1,2,1,44,213,330,205,0.995305164,0.993939394,0.995121951,0.343566764,0.061697736,0.366011346
15,4,0,0,2,38,210,326,202,1,1,0.99009901,0.343566764,0.061697736,0.372288461
16,2,0,0,1,32,206,322,196,1,1,0.994897959,0.343566764,0.061697736,0.375491071
17,2,2,1,1,29,204,320,193,0.990196078,0.996875,0.994818653,0.350002384,0.064629931,0.378726869
18,2,0,1,1,23,200,317,190,1,0.996845426,0.994736842,0.350002384,0.067580625,0.381996727
19,2,0,1,1,19,198,314,187,1,0.996815287,0.994652406,0.350002384,0.070550113,0.385301558
20,3,2,0,0,15,196,311,184,0.989795918,1,1,0.356635013,0.070550113,0.385301558
21,1,0,0,0,10,191,308,181,1,1,1,0.356635013,0.070550113,0.385301558
22,2,1,0,0,9,190,307,180,0.994736842,1,1,0.360021144,0.070550113,0.385301558
23,2,0,0,0,6,187,305,178,1,1,1,0.360021144,0.070550113,0.385301558
24,1,1,0,0,4,185,303,176,0.994594595,1,1,0.363480489,0.070550113,0.385301558
26,1,0,0,0,2,183,302,175,1,1,1,0.363480489,0.070550113,0.385301558
27,1,0,0,0,1,182,301,174,1,1,1,0.363480489,0.070550113,0.385301558
,,,,,,,,,,,,,,
sum,111,146,27,154,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,438,,,,,,,,,,
